Country,FinancialSatisfactionAverage,FinancialSatisfaction1,FinancialSatisfaction2,FinancialSatisfaction3,FinancialSatisfaction4,FinancialSatisfaction5,FinancialSatisfaction6,FinancialSatisfaction7,FinancialSatisfaction8,FinancialSatisfaction9,FinancialSatisfaction10,HealthVeryGood,HealthGood,HealthFair,HealthPoor,VeryHappy,QuiteHappy,NotVeryHappy,NotHappyAtAll,WorkVeryImportant,WorkRatherImportant,WorkNotVeryImportant,WorkNotImportantAtAll,LeisureVeryImportant,LeisureRatherImportant,LeisureNotVeryImportant,LeisureNotImportantAtAll,FriendsVeryImportant,FriendsRatherImportant,FriendsNotVeryImportant,FriendsNotImportantAtAll,ReligionVeryImportant,ReligionRatherImportant,ReligionNotVeryImportant,ReligionNotImportantAtAll,FamilyVeryImportant,FamilyRatherImportant,FamilyNotVeryImportant,FamilyNotImportantAtAll
Japan,6.2,3.6,2.3,5.4,5.4,13.3,19.3,16.0,16.3,6.6,3.5,13.5,40.1,37,8.7,28,59,9,1,47.4,37.5,9.9,1.5,40.3,49.8,6.6,0.5,44.9,47.9,5.3,0.2,5.7,11.6,31.7,39.7,91.3,6.2,0.9,0.1
Jordan,6.4,9.8,2.7,4.5,5.3,17.8,8.3,8.6,13.5,6.4,21.5,43.5,43.6,10.5,2.2,30,57,11,2,66.7,20.1,7.8,5.1,36.1,39.3,18.1,6.2,62.8,29.3,5.8,1.8,94.4,5.2,0.2,0.2,96.8,2.6,0.4,0.2
South Korea,5.6,3.7,3.9,9.5,12.6,15.7,17.1,19.8,13.6,2.7,1.1,13.1,66.5,19.1,1.3,13,75,12,1,61.9,29.1,7.2,1.7,24.1,60.9,13.8,1.2,44.5,49.3,6.1,0.1,21.1,25.8,34.5,18.6,92.3,7.5,0.2,0
Mexico,7.1,7.6,1.3,3.2,3.4,8.1,7.1,11.2,22.6,11.0,22.3,22.1,41.9,32.2,3.5,58,32,8,1,84.9,12.6,1.3,0.6,54.9,29.4,12.7,2.1,36.1,42.4,17.1,3.9,58.7,26,11.4,3.4,94.9,4.1,0.4,0.3
Morocco,5.0,2.2,7.8,13.2,12.2,30.8,15.0,9.0,5.4,2.2,2.2,38.4,36.2,21.8,3.6,25,56,16,3,85.6,11.2,2,0.9,23.7,29.1,28.5,15.8,52.2,32.9,11.3,3.4,90.5,7.9,1.2,0.2,96,3.4,0.6,0
Netherlands,6.8,2.1,1.8,3.7,4.9,8.3,13.6,25.0,24.8,7.7,7.0,24.5,48.3,23.2,3.9,42,52,5,1,30.9,45.7,11,6.9,55.6,39.9,4,0.3,57.6,38.5,3.5,0.3,12,18.2,27.3,38.7,80,14,3.6,1.2
New Zealand,6.7,3.5,2.6,4.2,6.5,12.3,9.7,14.4,17.1,19.7,6.5,36.5,44.8,16.1,2.1,38,58,3,0,34.6,47.7,7.2,4.3,48.2,39.3,8.1,0.7,54.9,37.9,4.1,0.4,16.6,17.7,29.5,32.2,93.3,5.5,1,0
Peru,5.7,8.5,4.1,6.5,9.2,18.1,14.7,15.1,10.5,5.2,7.5,7.3,40.4,48.5,3.9,28,40,30,2,71.2,23.5,3.9,0.8,32.3,34.5,27.1,4,21.9,30.7,43.4,3.3,49.1,26.5,18.7,4.7,81.4,16.7,1.7,0.1
Poland,5.1,10.9,4.8,8.7,11.1,20.5,13.2,11.9,11.6,3.3,2.9,17.8,37.9,32,12.2,21,66,7,1,61,25.9,5.6,5.6,29.8,52.9,13.5,1.7,34.7,58,6.6,0.4,47.2,38.5,10.3,2.7,93.6,5.4,0.4,0.3
Romania,4.8,12.3,10.5,12.7,10.2,14.5,9.8,11.5,11.2,3.6,2.8,9.9,43.7,32,14.3,7,48,37,7,53.5,34.9,6.2,2.8,26.1,42.8,22.5,4.9,24.1,46.7,22.6,4,57,32,7,2.4,85,12.3,0.7,0.3
Russia,4.7,16.9,6.5,11.1,10.8,17.8,10.1,9.5,9.4,3.3,3.3,6.2,33.6,45.3,14.4,11,55,26,4,48.4,31.2,11.8,6.1,29.3,46.6,18.4,3.7,37.4,51.1,8.7,1.3,13.1,33.4,31,17.9,89,8.8,1.1,0.2
Rwanda,4.4,9.8,13.6,13.2,10.4,18.5,17.5,8.4,4.3,1.3,1.9,2.5,31.1,49.1,16.9,12,74,12,2,63.7,35,0.8,0.1,44.3,50.7,4.4,0.2,49.2,49.6,0.7,0,38.8,56.8,4.1,0.1,63.2,34.9,1.5,0
Slovenia,6.3,2.7,2.9,6.2,6.5,18.8,13.4,16.7,17.5,7.6,7.3,21.2,35.6,29.1,13.9,18,62,16,2,47,45.1,5,2.4,43.2,43,11.7,1.6,51.1,39,8.9,0.8,15.1,27.2,30.6,25.7,88.7,8.9,1.3,0.8
South Africa,5.7,11.2,8.6,7.1,6.0,10.3,10.4,14.1,15.4,6.8,9.1,40.4,37.8,14.5,5.6,43,35,16,6,77.4,14.5,3.5,2.9,37.1,39.2,17.3,6,33.9,39.4,17.8,8.7,69.9,20.1,6.5,3,95.6,3.5,0.5,0.3
Spain,5.9,1.8,2.9,4.4,10.5,19.5,20.0,23.2,12.0,3.0,2.1,19.9,59.5,16.3,4,14,78,6,1,51.9,35.8,6.2,5.5,43.5,46.3,8.9,1,49.3,44.8,5.1,0.6,14.8,24.1,31,29.7,88.9,9.9,0.9,0.1
Sweden,7.1,2.6,1.5,5.9,5.1,9.6,8.0,14.7,23.5,13.1,15.7,34.8,42.8,19.2,3.2,43,53,3,1,53.2,38.7,3.9,3.8,53.6,41.7,4.5,0.3,71.3,26.7,1.9,0.1,9.3,19.9,40.7,29.6,92.1,6.8,0.7,0.3
Turkey,6.0,4.0,3.4,5.3,6.6,16.6,20.5,20.6,13.0,6.4,3.2,17,51.3,22.9,7.7,37,49,9,4,56,30.5,8.4,4.8,47.2,40.1,10.3,2.3,61.8,35.5,1.9,0.8,74.6,16.6,6.2,2.5,97.7,2.1,0.1,0.1
Egypt,4.8,14.4,8.8,10.6,9.3,18.6,10.1,11.1,8.9,3.0,5.2,15.5,51,25.4,8.1,10,74,15,2,63.1,21.8,11.5,3.6,13.3,40.4,35.1,11,43.2,46.7,8.3,1.8,95.4,4.1,0.2,0.2,97.7,2.1,0.2,0
United States,5.9,5.9,4.8,5.9,9.2,14.4,13.6,18.4,16.2,6.1,4.0,29.5,52.2,14.6,3.7,34,59,6,0,32.2,47,12.9,6.8,37.3,51.1,9.9,0.8,59.6,35.3,4.2,0.6,47,24.1,19.5,8.7,94.2,4.9,0.5,0
Uruguay,6.2,4.7,1.6,5.4,7.0,17.3,19.0,16.6,13.7,4.8,9.3,20.2,57.1,18.8,3.3,30,56,12,2,69.4,22.6,4,1.9,42.4,45.1,8.7,2.7,51.5,33,10.8,4,22.6,23,27.5,25.9,89.3,10,0.3,0.3
