Country,FinancialSatisfactionAverage,FinancialSatisfaction1,FinancialSatisfaction2,FinancialSatisfaction3,FinancialSatisfaction4,FinancialSatisfaction5,FinancialSatisfaction6,FinancialSatisfaction7,FinancialSatisfaction8,FinancialSatisfaction9,FinancialSatisfaction10,HealthVeryGood,HealthGood,HealthFair,HealthPoor,VeryHappy,QuiteHappy,NotVeryHappy,NotHappyAtAll,WorkVeryImportant,WorkRatherImportant,WorkNotVeryImportant,WorkNotImportantAtAll,LeisureVeryImportant,LeisureRatherImportant,LeisureNotVeryImportant,LeisureNotImportantAtAll,FriendsVeryImportant,FriendsRatherImportant,FriendsNotVeryImportant,FriendsNotImportantAtAll,ReligionVeryImportant,ReligionRatherImportant,ReligionNotVeryImportant,ReligionNotImportantAtAll,FamilyVeryImportant,FamilyRatherImportant,FamilyNotVeryImportant,FamilyNotImportantAtAll
Peru,5.1,14.1,5.0,9.2,9.9,18.9,11.7,10.7,8.7,3.5,7.3,7.3,40.4,48.5,3.9,31,35,32,2,68.2,29.2,1.9,0,22.8,28.4,35.2,12.8,24.6,32.6,39.7,2.9,52.5,31.4,13.9,2.1,82.4,16.7,0.7,0.1
Poland,,,,,,,,,,,,17.8,37.9,32,12.2,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,9.9,43.7,32,14.3,,,,,,,,,,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,6.2,33.6,45.3,14.4,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,,,,,,,,,,,,2.5,31.1,49.1,16.9,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,,,,,,,,,,,,21.2,35.6,29.1,13.9,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,4.6,17.9,7.5,11.5,11.4,17.3,9.1,7.7,7.3,2.5,7.4,40.4,37.8,14.5,5.6,39,39,18,4,79.3,13.3,5.1,1.5,35.4,42.9,17.6,3.6,34.3,35.5,24.4,5.8,69.7,21.8,5.3,3.1,95.2,3,1.7,0.1
Spain,6.3,2.9,1.4,4.1,5.2,20.8,17.6,22.1,13.7,4.4,7.0,19.9,59.5,16.3,4,20,67,11,1,55.5,33.9,6.3,3.7,38.2,48.5,11.6,0.9,46.9,45.2,6.4,0.9,21.9,27.3,30.9,19.3,85.4,13.4,0.9,0.2
Sweden,,,,,,,,,,,,34.8,42.8,19.2,3.2,37,57,5,2,54.1,36.5,5.6,3.3,53.9,39.6,5.7,0.4,70.7,26.9,2.2,0.2,10.6,24.2,42.3,22.2,89.4,8.5,1.8,0.2
Turkey,4.3,18.5,7.6,13.2,10.0,25.1,9.1,6.3,5.3,1.6,3.1,17,51.3,22.9,7.7,35,43,14,9,69.8,18.3,5.7,5.5,40.8,35.1,16.7,6.3,72.6,23.3,2.4,0.8,80.3,13.1,3.7,2.7,97.3,2.1,0.3,0.2
Egypt,5.3,3.0,40.4,3.0,3.6,0.0,10.2,0.0,0.1,39.5,0.0,15.5,51,25.4,8.1,18,71,9,2,71.5,18.7,7.7,1.5,9.1,45.5,35.5,9.3,37.3,46.3,13.2,3.2,97.3,2.5,0.1,0,96.4,3.3,0.2,0.1
United States,6.5,4.8,2.6,4.4,7.5,10.4,12.3,19.1,19.7,8.3,10.7,29.5,52.2,14.6,3.7,39,54,6,1,53.6,35.8,7,3.3,42.5,48.2,8.8,0.4,64.2,31.5,3.8,0.3,56.9,25.4,12.4,4.9,95.3,3.8,0.4,0.4
Uruguay,,,,,,,,,,,,20.2,57.1,18.8,3.3,,,,,,,,,,,,,,,,,,,,,,,,
