Country,FinancialSatisfactionAverage,FinancialSatisfaction1,FinancialSatisfaction2,FinancialSatisfaction3,FinancialSatisfaction4,FinancialSatisfaction5,FinancialSatisfaction6,FinancialSatisfaction7,FinancialSatisfaction8,FinancialSatisfaction9,FinancialSatisfaction10,HealthVeryGood,HealthGood,HealthFair,HealthPoor,VeryHappy,QuiteHappy,NotVeryHappy,NotHappyAtAll,WorkVeryImportant,WorkRatherImportant,WorkNotVeryImportant,WorkNotImportantAtAll,LeisureVeryImportant,LeisureRatherImportant,LeisureNotVeryImportant,LeisureNotImportantAtAll,FriendsVeryImportant,FriendsRatherImportant,FriendsNotVeryImportant,FriendsNotImportantAtAll,ReligionVeryImportant,ReligionRatherImportant,ReligionNotVeryImportant,ReligionNotImportantAtAll,FamilyVeryImportant,FamilyRatherImportant,FamilyNotVeryImportant,FamilyNotImportantAtAll,,,,,
Japan,6.0,3.1,3.1,8.1,8.0,17.5,11.2,15.2,15.8,6.0,6.0,13.3,37.9,37.5,9.6,32,54,9,1,52.1,32.1,8.4,1.9,42.3,46.1,8.3,0.5,45,47,5.4,0.4,5.4,13.6,33.2,34.3,90.8,6.8,0.6,0.2,,,,,
Jordan,5.3,11.4,4.3,8.4,6.4,19.4,14.4,17.3,11.3,2.8,4.2,38.9,41.2,15.2,4.8,21,65,10,5,68.1,18.7,5.3,6.3,33.6,42.8,17.9,5.7,50.7,40.2,7,2,93.3,6.2,0.2,0.1,95.8,4,0.2,0,,,,,
South Korea,5.7,2.6,2.4,8.3,9.8,23.3,17.3,18.0,10.2,3.7,2.5,14.9,65.2,17.6,0.9,15,75,9,1,60.8,29.8,4.8,3.4,30.8,55.8,10.9,1,49.3,46,3.8,0.2,25.7,28.5,26.1,18.5,91.3,7.6,0.5,0.3,,,,,
Mexico,7.0,7.6,1.4,3.0,4.3,10.4,8.0,13.2,20.5,9.2,22.4,26.1,46.6,25,2.2,68,27,5,0,87,8.5,2.8,1.7,59.2,26.6,11.7,2.5,38.6,39.4,17.4,4.6,58.4,25.4,11.2,5,97.6,1.7,0.8,0,,,,,
Morocco,5.6,6.0,3.2,8.1,9.2,32.5,11.9,8.2,5.6,2.1,12.3,37.4,34.2,23.2,5.1,21,57,16,6,82.5,12.7,2.6,1.5,16.9,29.8,28,18.6,35.8,42.5,16.7,4.7,88.9,9.8,0.8,0.2,90.7,8.5,0.3,0.3,,,,,
Netherlands,6.9,1.4,1.2,2.6,3.9,8.0,13.2,26.8,29.2,8.3,3.9,15.1,60.2,20.4,3.6,32,61,6,1,29.5,49.1,12.4,5.2,40.4,52.6,5.7,0.2,49.6,45.1,4.3,0.3,10.7,14.5,28.9,43.8,85.5,8.8,2.3,1.3,,,,,
New Zealand,6.9,2.1,1.8,5.1,5.7,13.1,9.4,16.4,18.9,11.2,14.0,35.2,45.2,15.3,2.7,34,59,4,1,35,46.1,8.1,5,47.8,41.3,7,0.1,57,35.2,4.9,0.1,18.7,17.4,27.9,30.7,92.9,4.9,0.7,0,,,,,
Peru,6.0,5.0,3.4,5.0,7.1,22.9,14.3,16.8,9.5,5.0,10.8,13.2,41.1,41.8,3.6,35,41,22,1,69.1,25.6,3.2,0.6,37,36.4,22.5,2.5,23.5,32.4,40.4,2.6,49.9,30.3,15.7,2.8,85.3,14.1,0.7,0,,,,,
Poland,5.7,7.0,3.4,7.4,8.1,22.3,12.6,15.7,12.3,4.2,6.8,20.9,40.4,28.5,10.3,22,70,5,1,64.2,25,4,3.8,35,50.5,11.6,1.2,38.3,55.2,5,1.2,45.7,33.9,15.1,4.8,92.1,6.4,0.3,0.3,,,,,
Romania,5.8,10.5,3.9,6.5,6.1,14.5,11.9,16.6,14.5,6.1,8.7,15.4,49.7,25.9,8.9,14,55,26,4,55.9,34.3,6.4,2.8,34.1,44.4,17,4,22.4,52.2,22.1,3.1,50.5,33.3,12.7,3.2,93.1,5.5,1.1,0.2,,,,,
Russian Federation,4.9,12.2,5.3,12.8,13.0,12.0,19.3,10.7,7.9,2.6,3.1,5.1,39,44.5,10.6,15,59,21,2,45,29.3,9.4,9.7,29.4,45.2,18.5,5.1,34.6,45.8,15.2,3.5,14.3,27.5,30.5,22.4,85,12.7,1.3,0.5,,,,,
Rwanda,6.1,2.5,1.2,2.4,7.7,21.1,26.1,17.7,12.8,7.2,1.3,33.8,49.1,13,4.1,41,50,9,1,70.5,18,10,1.4,31.4,41.6,22.5,4.5,72.1,25,2.5,0.5,40.3,32,24.2,3.5,91.7,7.2,0.7,0.3,,,,,
Slovenia,6.1,4.4,4.8,6.4,5.4,19.1,12.2,16.6,18.7,6.7,5.5,22.3,42.8,22.9,12,20,64,14,2,41.3,46.9,8.8,1.8,41.2,46.2,10.7,1.2,44.2,47.9,7.5,0.4,11.2,21.7,40.5,25.9,88.7,10.1,0.6,0.2,,,,,
South Africa,6.1,5.9,2.7,5.8,9.4,13.4,14.7,16.2,15.9,6.5,8.8,41.8,42,11.9,4.3,39,37,18,6,57.5,22.6,9.4,6.1,36.1,35.9,18.9,8.2,44.7,37.1,13.4,4.4,55.8,28.1,9.8,4.8,92.5,6,1.1,0.2,,,,,
Spain,5.6,4.1,2.9,9.0,11.6,21.9,15.4,15.0,14.3,3.4,1.7,20.3,53.9,20.6,5,16,71,12,1,62.4,22.3,7.8,6.3,44.8,46.3,7.6,0.3,52.4,42.8,3.5,0.1,10.7,21.3,31.2,35.9,91.1,8.4,0.2,0.2,,,,,
Sweden,6.9,3.5,2.8,3.9,6.3,9.9,9.2,15.5,20.2,12.3,16.0,30.8,44.8,21,3.3,41,54,5,0,50.3,34.6,7.5,2.5,53.6,41.3,3.5,0.5,67.8,29.5,2.2,0.3,7.9,18.3,38.5,34.3,89.2,9,1.3,0.2,,,,,
Turkey,6.2,3.2,1.9,5.5,8.2,16.6,18.2,17.6,14.9,6.9,5.6,18.8,47.6,25.5,5.6,38,46,12,4,49.6,31.7,11.9,5.7,41.9,43.2,12,1.8,58,38.9,2.3,0.4,68.1,24.6,4,3,95.4,4.3,0.1,0.1,,,,,
Egypt,4.9,18.6,6.0,11.1,8.5,12.8,10.8,11.3,13.5,2.6,5.0,14.3,45,25,15.7,5,21,30,44,61,21.3,9.7,8,21.1,39.8,30.8,8.3,54.9,33.6,9,2.5,94.1,5.7,0,0.1,97.4,2.2,0.5,0,,,,,
United States,6.2,5.5,3.8,6.5,9.1,12.0,11.6,16.2,18.4,10.5,5.7,27.8,52.1,16.1,3.3,36,54,9,1,35.6,44.3,12.9,6.6,38.9,51.6,8,0.9,53.5,39.8,5.1,0.8,40.4,28,18.2,12.7,90.9,7.3,0.8,0.6,,,,,
Uruguay,6.6,4.6,2.7,2.9,4.4,14.5,13.2,16.4,19.7,10.8,10.3,25.8,54.6,16.4,3.1,34,52,11,2,63.7,26,4.8,4.5,48.9,37.8,10.4,1.6,51.4,31,13.6,3.7,20.3,18.3,30.1,30.6,88.7,9.9,0.6,0.7,,,,,
